station_name,station_code
住吉大社,007573
住吉東,007572
住吉町,006303
住吉通,009067
住吉鳥居前,007574
住道,007043
佐々,009476
佐々木,001280
佐世保,009556
佐世保中央,009553
佐久,000014
佐久平,002451
佐久広瀬,002751
佐久海ノ口,002731
佐久間,005720
佐伯,009629
佐伯区役所前,008136
佐倉,003531
佐原,002931
佐古,008483
佐古木,005629
佐味田川,007642
佐和,002229
佐土原,009943
佐奈,007889
佐屋,005536
佐川,009250
佐志生,009550
佐敷,009895
佐津,003963
佐用,005993
佐羽根,000788
佐良山,005874
佐貫,002867
佐貫町,005205
佐賀,009446
佐賀公園,009595
佐那具,006609
佐里,009368
佐野,002398
佐野のわたし,002422
佐野市,002416
体験坑道,000482
余呉,004421
余子,004454
余市,000164
余戸,008800
余目,000990
余部,006420
作並,001126
作草部,004113
佳景山,001069
侍浜,000667
依那古,007000
俊徳道,007378
保々,005841
保内,001409
保原,001339
保土ヶ谷,004685
保津峡,005900
保田,002679
保田,005558
保見,005569
保谷,003271
信太山,007841
信州中野,001865
信楽,006371
信濃吉田,001996
信濃国分寺,002303
信濃境,002946
信濃大町,002179
信濃川上,002793
信濃川島,002744
信濃常盤,002204
信濃平,001735
信濃木崎,002148
信濃松川,002234
信濃森上,001910
信濃浅野,001894
信濃町,003774
信濃白鳥,001697
信濃竹原,001839
信濃荒井,002510
信濃追分,002371
信貴山下,007603
信貴山口,007549
修善寺,006101
修大協創中高前,008130
修学院,005834
俵田,005074
倉吉,004665
倉敷,007598
倉敷市,007604
倉本,003364
倉橋,003332
倉永,009590
倉見,004850
倉賀野,002426
倶利伽羅,001986
倶知安,000338
偕楽園,002311
健軍交番前,009804
健軍校前,009800
健軍町,009805
傘松,004272
備中呉妹,007541
備中川面,006434
備中広瀬,006803
備中神代,006033
備中箕島,007591
備中高松,007167
備中高梁,006686
備前一宮,007230
備前三門,007301
備前原,007053
備前片上,006843
備前片岡,007743
備前田井,007804
備前福河,006847
備前西市,007503
備後三川,007509
備後三日市,006426
備後八幡,006218
備後安田,006870
備後庄原,006405
備後本庄,007854
備後矢野,007341
備後落合,006006
備後西城,006214
備後赤坂,007903
儀保,010130
元住吉,004322
元加治,003020
元善光寺,004422
元宇品口,008155
